x,y,quantity,category,index
74.3456338,31.5636847,4,Container Point,132
74.3435274,31.5631599,4,Container Point,133
74.3435506,31.563403,1,Container Point,134
74.3436873,31.5637114,1,Container Point,135
74.3435229,31.5652424,6,Container Point,136
74.3435418,31.5652699,3,Container Point,137
74.339718,31.5698206,1,Container Point,138
74.3393106,31.5701988,2,Container Point,139
74.3388187,31.5703659,4,Container Point,140
74.3377733,31.5723991,3,Container Point,141
74.3370576,31.5724283,1,Container Point,142
74.3350452,31.5734694,3,Container Point,143
74.3339878,31.575296,2,Container Point,144
74.3325964,31.5734038,8,Container Point,145
74.3325938,31.5733981,2,Container Point,146
74.3309114,31.5709656,3,Container Point,147
74.3353831,31.5703049,2,Container Point,148
74.3366049,31.5625588,2,Container Point,149
74.3367272,31.5624408,2,Container Point,150
74.3365068,31.5654176,2,Container Point,151
74.3370222,31.5642308,2,Container Point,152
74.3398655,31.562963,2,Container Point,153
74.3420751,31.55923,1,Container Point,154
74.3420831,31.5592371,2,Container Point,155
74.33822,31.5599549,2,Container Point,156
74.338153,31.5599719,1,Container Point,157
74.3391875,31.5575477,1,Container Point,158
74.3392673,31.5575119,2,Container Point,159
74.3396911,31.5564099,1,Container Point,160
74.342163,31.5553047,2,Container Point,161
74.3420959,31.5552181,1,Container Point,162
74.3508636,31.5534353,3,Container Point,163
74.3551504,31.5512441,2,Container Point,164
74.3552328,31.5511196,3,Container Point,165
74.3548466,31.5562048,5,Container Point,166
74.3523094,31.5580853,3,Container Point,167
74.3468557,31.5237032,2,Container Point,168
74.3471589,31.5237907,2,Container Point,169
74.3471929,31.5236609,1,Container Point,170
74.3468508,31.5238847,1,Container Point,171
74.3472449,31.523606,1,Container Point,172
74.3480171,31.5238538,2,Container Point,173
74.3498433,31.5275701,1,Container Point,174
74.3499381,31.5275585,2,Container Point,175
74.3508101,31.5323709,2,Container Point,176
74.3502767,31.5324399,2,Container Point,177
74.3462758,31.5339521,5,Container Point,178
74.3602836,31.5319256,6,Container Point,179
74.3605824,31.5335396,6,Container Point,180
74.3523578,31.5389406,1,Container Point,181
74.3524278,31.539136,1,Container Point,182
74.3469272,31.5404512,1,Container Point,183
74.342247,31.5353831,3,Container Point,184
74.3463166,31.5341902,1,Container Point,185
74.3432848,31.5337297,2,Container Point,186
74.3422744,31.5338003,3,Container Point,187
74.3408835,31.5237659,8,Container Point,188
74.3408835,31.5237659,2,Container Point,189
74.3409553,31.5230588,1,Container Point,190
74.3421226,31.5228637,2,Container Point,191
74.3459431,31.523705,2,Container Point,192
74.3453104,31.5256746,10,Container Point,193
